fecha,Kind,Number,variable
2018-06-21,Observed,14.0,calls
2018-06-22,Observed,22.0,calls
2018-06-23,Observed,17.0,calls
2018-06-24,Observed,9.0,calls
2018-06-25,Observed,12.0,calls
2018-06-26,Observed,16.0,calls
2018-06-27,Observed,18.0,calls
2018-06-28,Observed,28.0,calls
2018-06-29,Observed,22.0,calls
2018-06-30,Observed,20.0,calls
2018-07-01,Observed,12.0,calls
2018-07-02,Observed,30.0,calls
2018-07-03,Observed,15.0,calls
2018-07-04,Observed,20.0,calls
2018-07-05,Observed,23.0,calls
2018-07-06,Observed,16.0,calls
2018-07-07,Observed,15.0,calls
2018-07-08,Observed,12.0,calls
2018-07-09,Observed,19.0,calls
2018-07-10,Observed,17.0,calls
2018-07-11,Observed,18.0,calls
2018-07-12,Observed,18.0,calls
2018-07-13,Observed,13.0,calls
2018-07-14,Observed,13.0,calls
2018-07-15,Observed,11.0,calls
2018-07-16,Observed,28.0,calls
2018-07-17,Observed,14.0,calls
2018-07-18,Observed,18.0,calls
2018-07-19,Observed,9.0,calls
2018-07-20,Observed,15.0,calls
2018-07-21,Observed,17.0,calls
2018-07-22,Observed,28.0,calls
2018-07-23,Observed,11.0,calls
2018-07-24,Observed,12.0,calls
2018-07-25,Observed,8.0,calls
2018-07-26,Observed,15.0,calls
2018-07-27,Observed,9.0,calls
2018-07-28,Observed,18.0,calls
2018-07-29,Observed,19.0,calls
2018-07-30,Observed,27.0,calls
2018-07-31,Observed,18.0,calls
2018-08-01,Observed,19.0,calls
2018-08-02,Observed,17.0,calls
2018-08-03,Observed,11.0,calls
2018-08-04,Observed,15.0,calls
2018-08-05,Observed,16.0,calls
2018-08-06,Observed,19.0,calls
2018-08-07,Observed,28.0,calls
2018-08-08,Observed,12.0,calls
2018-08-09,Observed,16.0,calls
2018-08-10,Observed,17.0,calls
2018-08-11,Observed,18.0,calls
2018-08-12,Observed,19.0,calls
2018-08-13,Observed,26.0,calls
2018-08-14,Observed,31.0,calls
2018-08-15,Observed,28.0,calls
2018-08-16,Observed,25.0,calls
2018-08-17,Observed,16.0,calls
2018-08-18,Observed,15.0,calls
2018-08-19,Observed,29.0,calls
2018-08-20,Observed,18.0,calls
2018-08-21,Observed,29.0,calls
2018-08-22,Observed,17.0,calls
